"","CL3","CC1","SV1","M31Fcsw","M11Fcsw","M31Plmr","M11Plmr","F21Plmr","M31Tong","M11Tong","LMEpi24M","SLEpi20M","AQC1cm","AQC4cm","AQC7cm","NP2","NP3","NP5","TRRsed1","TRRsed2","TRRsed3","TS28","TS29","Even1","Even2","Even3"
"549322",0,0,0,0,0,0,0,0,0,0,0,8.21482085118688e-07,2.31214268831974e-05,4.24235559339737e-05,7.65024042351731e-05,1.90973084253505e-06,0,0,0,0,0,0,0,0,0,0
"522457",0,0,0,0,0,0,0,0,0,0,0,0,0,8.48471118679473e-07,3.53088019546953e-06,0,0,0,0,0,0,0,0,0,0,0
"951",0,0,0,0,0,0,2.30471036704817e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244423",0,0,0,0,0,0,0,0,0,0,0,0,0,9.33318230547421e-06,1.70659209447694e-05,0,0,0,0,0,0,0,0,0,0,0
"586076",0,0,0,0,0,0,0,0,0,0,0,0,0,8.48471118679473e-07,5.88480032578255e-07,0,0,0,0,0,0,0,0,0,0,0
"246140",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,1.76544009773476e-06,0,0,0,0,0,0,0,0,0,0,0
"143239",8.10112987615687e-06,8.80702659810103e-07,0,0,0,0,6.91413110114452e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244960",0,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,0,0,0,0,0,0,0,0,0,0,0,0
"255340",0.000177067553007429,0.00017085631600316,0,0,0,0,0,0,0,0,0,0,8.56349143822126e-07,0,5.88480032578255e-07,0,0,0,0,0,0,0,0,1.64455155956936e-06,1.02978869765713e-06,0
"144887",3.47191280406723e-06,4.40351329905051e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141782",1.04157384122017e-05,3.08245930933536e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215972",0,2.64210797943031e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31759",0,8.80702659810103e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30678",0,2.64210797943031e-06,0,0,0,0,0,0,0,0,0,8.21482085118688e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138353",0,0,2.723979188799e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05575856880392e-06,0,0,0,0,0,0
"406058",1.15730426802241e-06,0,0,0,0,0,0,0,0,0,0,0,0,4.24235559339737e-07,0,0,0,0,0,0,0,0,0,0,0,0
"30405",0.000935101848562107,9.68772925791113e-06,4.30101977178789e-06,0,0,0,0,0,0,0,0,0,0,0,5.88480032578255e-07,1.90973084253505e-06,0,0,0,0,0,0,0,4.93365467870807e-06,0,0
"1126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44545649261778e-06,0,0,0,0,0,0,0,0
"46043",0,0,0,0,0,0,0,0,1.99959808078576e-06,0,0,0,0,0,0,0,2.02844556835354e-06,0.000260776860924251,0,2.02787928440196e-06,7.15041615422018e-06,0,0,0,0,0
